Place,Description,Location,Ages,Ticket Price,Event Start Date,Event End Date,Opening Hours
Secret of Scarab “ Escape Room”,"A mysterious scarab carrying the wrath of the Pharaohs awaits anyone who dares to disturb their slumber. Try to solve the puzzle and escape the evil fate, decipher the hieroglyphics, and break the curse before time runs out.",Riyadh,Adults,60 SAR per person,10/16/2024,10/16/2024,6:00 AM to 8:00 PM
Experience Courchevel,Get ready to enjoy an exceptional experience that takes you to the heights of the French mountains in the Courchevel zone at Boulevard World. This experience offers a wonderful winter atmosphere where you can amid breathtaking snowy landscapes that replicate the magic of a European winter.,Riyadh,Adults,Free Pass,12/18/2024,12/18/2024,5:30 AM to 7:30 PM
The Vampire Hotel,Welcome to the Vampire Hotel We are happy to have you visit us and discover our new world in our Italian-style hotel covered in blood where each room holds a scary survival challenge... Will you be able to get out safely?,Riyadh,Above 15,10 SAR per person,10/13/2025,10/13/2025,7:00 AM to 9:00 PM
Doll's Trip,"On an isolated island on the edge of a quiet lake, suspicious dolls float. Discover the secrets of the mysteriously drowned dolls, and embark on an unforgettable horror experience where mystery and fear are mixed at every moment",Riyadh,All,30 SAR per person,10/13/2025,10/13/2025,6:30 AM to 8:30 PM
Swimming with Dolphins,Create new wonderful memories with the experience of swimming solely with the dolphins,Riyadh,All,50 SAR per person,10/13/2025,10/13/2025,5:00 AM to 6:00 PM
BLVD Dolphinarium,"BLVD Dolphinarium is back with a new show! Enjoy photos, swim with dolphins, and educational programs.",Riyadh,Adults,30 SAR per person,10/13/2025,10/13/2025,6:00 AM to 7:00 PM
BattleKart Boulevard World,"BattleKart is the worlds first REAL life video game based karting. Imagine having a real war on the race track where you can shoot rockets to stop other opponents, drift with turbo bonus, and leave oil barrels behind. Many other game modes are offered like football karting, the famous snake game, and a lot more. Up to the challenge?",Riyadh,All,50 SAR per person,10/26/2025,10/26/2025,5:00 AM to 7:00 PM
SuperFly,"Defy gravity and show your Superhero skills as you fly! Superfly features a unique open-air flight zone, where you can soar high during your flying experience in an enclosed flying area for safe flights, making the dream of flight accessible to anyone.",Riyadh,Above 15,50 SAR per person,11/4/2024,4/10/2025,6:00 AM to 8:00 PM
Oasis,"Get ready to enjoy a unique beach experience, where you will swim among waves of plastic balls and live a unique atmosphere of relaxation and fun filled with fun and various activities.",Riyadh,Adults,30 SAR per person,10/13/2025,10/13/2025,5:30 AM to 7:30 PM
Dead Wood Valley,"Engage in an adrenaline-pumping zombie thrill-ride through a town overrun by zombies. Ride across isolated country roads and explore the darkest depths of the valley. Utilize an arsenal of exciting weapons like shotguns, magnum pistols, assault rifles and more. Your squad could stop the zombie menace forever - or die trying. Will your squad make it through the night?",Riyadh,Adults,Free Pass,11/26/2024,11/26/2024,7:00 AM to 9:00 PM
Squid Game Virtuals,"Squid Game Virtuals allows you to be fully immersed in the action of the most-watched Netflix show of all time. Compete against your crew in three thrilling mini-games. Race against your friends in Red Light, Green Light, and take careful steps as you Cross the glass bridge. Compete with your friends as you try to capture the high score. Will you be the sole survivor and grand prize winner? Find out today",Riyadh,Adults,10 SAR per person,11/26/2024,11/26/2024,6:30 AM to 8:30 PM
WWE Experience,WELCOME TO THE WWE EXPERIENCE!,Riyadh,Above 12,40 SAR per person,10/13/2025,10/13/2025,5:00 AM to 6:00 PM
Big Fun Museum,"An awesome journey awaits you through new worlds in the “Museum of Illusions”, an incredible adventure on the planet Alphatar in the “Fairy Tale Forest Museum”, and an opportunity to experience the seven senses in the “Museum of Feelings”. 3D images of memories can come to life! Hand-painted by the best artists in the world",Riyadh,All,Free Pass,1/9/2024,1/29/2025,6:00 AM to 7:00 PM
FIT EXPO - The Premier Sports & Fitness Event in Saudi Arabia 3rd Edition,"FIT EXPO is one of the leading health and fitness exhibitions in Saudi Arabia, aiming to promote a healthy and active lifestyle. The expo includes various sports championships and features celebrities from the sports and fitness industry. Whether you’re a professional or simply a fitness enthusiast, FIT EXPO is the perfect destination for you. Get your tickets now via webook and don’t miss out on this exciting sports event in Saudi Arabia.",Jeddah,Above 12,20 SAR per person,1/23/2025,1/25/2025,5:00 AM to 7:00 PM
Riyadh Racing Season Race Night,"A race night at King Abdulaziz Racecourse is an evening like no other. The jewel in the crown of Saudi racing, this sophisticated venue features picturesque viewing lawns, stylish lounges and restaurants and, of course, proximity to the thrilling racing action. Tickets and award-winning all-inclusive hospitality experiences are available (tickets for under 16s are free when accompanied by an adult). The racecourse has free car parking. Select from:",Riyadh,All,150 SAR per person,3/15/2025,3/15/2025,6:00 AM to 8:00 PM
Aseeri Step Festival,Highlights the Aseeri Step as a cultural heritage element,Abha,All,20 SAR per person,11/27/2022,12/1/2022,5:30 AM to 7:30 PM
AlUla Arts Festival,A festival celebrating arts and culture,Al-Ula,Above 12,90 SAR per person,1/7/2023,1/12/2023,7:00 AM to 9:00 PM
Dhaif Al-Ahlam Festival,Focuses on hospitality and traditional Saudi cuisine.,Riyadh,Above 15,40 SAR per person,2/12/2023,2/17/2023,6:30 AM to 8:30 PM
Khaleej Festival,Celebrates Gulf cooperation and heritage with various cultural activities.,Jeddah,All,50 SAR per person,6/1/2023,6/7/2023,5:00 AM to 6:00 PM
Souq Okaz Festival,Revives the historic marketplace with art exhibitions and poetry competitions.,Taif,Adults,Free Pass,7/12/2023,7/22/2023,6:00 AM to 7:00 PM
Theatrical Performances at Riyadh Season,A series of theatrical performances showcasing Saudi talent.,Riyadh,Adults,Free Pass,10/21/2022,12/31/2022,5:00 AM to 7:00 PM
Camel Festival,Celebrates the cultural significance of camels with competitions and exhibitions.,Jeddah,All,30 SAR per person,12/10/2022,1/10/2022,6:00 AM to 8:00 PM
Aseer Cultural Festival,Features local arts,Abha,Above 12,70 SAR per person,7/20/2023,8/5/2023,5:30 AM to 7:30 PM
Mawsem Festival,Highlights seasonal food and cultural traditions.,Riyadh,All,120 SAR per person,3/10/2023,3/20/2023,7:00 AM to 9:00 PM
Red Sea International Film Festival,Celebrates cinema and filmmakers from the region.,Jeddah,Above 12,10 SAR per person,12/6/2022,12/15/2022,6:30 AM to 8:30 PM
Qassim Date Festival,Showcases the region's famous dates with competitions and tastings., Qassim,Adults,150 SAR per person,9/1/2023,9/15/2023,5:00 AM to 6:00 PM
Al-Ula Music Festival,A music festival featuring performances from local and international artists.,Al-Ula,Above 12,40 SAR per person,3/5/2023,3/10/2023,6:00 AM to 7:00 PM
Al-Faisaliah Festival,Celebrates local crafts and heritage.,Riyadh,Adults,50 SAR per person,4/10/2023,4/15/2023,5:00 AM to 7:00 PM
Saudi Food Festival,A culinary event showcasing traditional Saudi dishes.,Riyadh,Adults,50 SAR per person,11/10/2023,11/15/2023,6:00 AM to 8:00 PM
Literary Festival,Featuring authors,Riyadh,Above 15,30 SAR per person,5/5/2023,5/10/2023,5:30 AM to 7:30 PM
Soudah Season,Showcases the region's natural beauty and heritage.,Abha,Adults,50 SAR per person,8/20/2023,9/5/2023,7:00 AM to 9:00 PM
Al-Balad Heritage Festival,A celebration of the history and culture of Al-Balad,Jeddah,Adults,50 SAR per person,2/1/2023,2/10/2023,6:30 AM to 8:30 PM
Riyadh International Book Fair,A major event promoting reading,Riyadh,Above 12,50 SAR per person,10/12/2023,10/22/2023,5:00 AM to 6:00 PM
Makkah Cultural Heritage Festival,Showcases the cultural heritage of Makkah through exhibitions and performances.,Makkah,All,90 SAR per person,7/1/2023,7/15/2023,6:00 AM to 7:00 PM
AlUla Winter Festival,Celebrates winter with cultural events,Al-Ula,Adults,Free Pass,12/20/2022,1/5/2023,5:00 AM to 7:00 PM
Jeddah Season,A summer festival featuring entertainment,Jeddah,All,60 SAR per person,6/20/2023,9/2/2023,6:00 AM to 8:00 PM
Tuwaiq International Sculpture Symposium,An art symposium focusing on sculpture,Riyadh,Above 15,Free Pass,11/1/2022,11/30/2022,5:30 AM to 7:30 PM
Heritage and Culture Festival,Highlights the cultural heritage of Najran with performances and workshops.,Najran,Above 12,30 SAR per person,5/20/2023,5/25/2023,7:00 AM to 9:00 PM
Al-Majma'ah Festival,Celebrates local culture with various artistic and cultural activities.,Al-Majma'ah,Above 12,60 SAR per person,9/5/2023,9/12/2023,6:30 AM to 8:30 PM
Traditional Poetry Festival,Features competitions and performances of traditional poetry.,Taif,Above 15,30 SAR per person,7/1/2023,7/5/2023,5:00 AM to 6:00 PM
Heritage of the Oasis Festival,Celebrates the rich heritage and history of the Al-Hasa oasis.,Al-Hasa,Above 12,40 SAR per person,2/15/2023,2/20/2023,6:00 AM to 7:00 PM
Cultural Exchange Forum,A platform for discussing cultural exchange and collaboration.,Riyadh,Above 12,70 SAR per person,3/15/2023,3/17/2023,5:00 AM to 7:00 PM
Riyadh Street Art Festival,Showcases street art and urban culture,Riyadh,Above 15,50 SAR per person,8/1/2023,8/10/2023,6:00 AM to 8:00 PM
Jeddah Film Festival,Celebrates cinema and promotes local filmmakers.,Jeddah,Above 15,60 SAR per person,10/15/2022,10/20/2022,5:30 AM to 7:30 PM
Shahran Cultural Festival,Features local arts,Al-Baha,Adults,50 SAR per person,9/1/2023,9/10/2023,7:00 AM to 9:00 PM
Traditional Crafts Exhibition,Showcases traditional crafts and artisans from across the kingdom.,Riyadh,Adults,20 SAR per person,11/1/2023,11/7/2023,6:30 AM to 8:30 PM
Taif Summer Festival,A summer festival featuring cultural events,Taif,All,150 SAR per person,7/1/2023,8/15/2023,5:00 AM to 6:00 PM
Al-Qassim Cultural Festival,Showcases the cultural heritage of the Qassim region.,Qassim,All,50 SAR per person,3/10/2023,3/20/2023,6:00 AM to 7:00 PM
Midsummer Nights Festival,A cultural festival celebrating the arts with performances and workshops.,Riyadh,All,90 SAR per person,6/15/2023,6/30/2023,5:00 AM to 7:00 PM
Saudi Music Festival,Features local and international musicians,Riyadh,All,50 SAR per person,1/5/2023,1/10/2023,6:00 AM to 8:00 PM
Asir Summer Festival,Celebrates the culture and traditions of the Asir region.,Abha,Adults,50 SAR per person,7/20/2023,8/5/2023,5:30 AM to 7:30 PM
Traditional Dance Festival,Showcases traditional dances from various regions of Saudi Arabia.,Riyadh,Adults,10 SAR per person,4/20/2023,4/25/2023,7:00 AM to 9:00 PM
Cultural Heritage Exhibitions,Features exhibitions focused on Saudi heritage and history.,Dammam,Adults,70 SAR per person,8/10/2023,8/20/2023,6:30 AM to 8:30 PM
Al-Jouf Heritage Festival,Celebrates the heritage and culture of Al-Jouf region through events and performances.,Al-Jouf,Above 15,20 SAR per person,10/1/2023,10/10/2023,5:00 AM to 6:00 PM
Poetry and Literature Festival,Features poetry readings and literary discussions with local and international authors.,Jeddah,All,40 SAR per person,11/15/2022,11/20/2022,6:00 AM to 7:00 PM
Traditional Cuisine Festival,Showcases traditional Saudi dishes and culinary practices.,Riyadh,Adults,70 SAR per person,9/15/2023,9/22/2023,5:00 AM to 7:00 PM
Artistic Expressions Festival,Celebrates art,Dammam,Above 15,10 SAR per person,6/1/2023,6/10/2023,6:00 AM to 8:00 PM
Riyadh Fashion Week,Showcases local and international fashion designers.,Riyadh,Above 15,60 SAR per person,3/20/2023,3/25/2023,5:30 AM to 7:30 PM
Winter at Tantora Festival,A winter festival featuring concerts,Al-Ula,Adults,10 SAR per person,12/15/2022,1/7/2023,7:00 AM to 9:00 PM
Jeddah Art Week,A week dedicated to contemporary art,Jeddah,Adults,30 SAR per person,4/1/2023,4/7/2023,6:30 AM to 8:30 PM
Festival of Heritage and Culture,Highlights Saudi heritage through various cultural activities and exhibitions.,Riyadh,Above 12,50 SAR per person,1/10/2023,1/15/2023,5:00 AM to 6:00 PM
Traditional Jewelry Exhibition,Showcases traditional jewelry and crafts from different regions of Saudi Arabia.,Qassim,Above 12,150 SAR per person,11/15/2022,11/20/2022,6:00 AM to 7:00 PM
Eastern Province Cultural Festival,Celebrates the rich cultural heritage of the Eastern Province with various activities.,Dammam,Above 15,50 SAR per person,10/5/2023,10/10/2023,5:00 AM to 7:00 PM
Arabian Horse Festival,A festival celebrating Arabian horse culture with competitions and exhibitions.,Riyadh,Adults,40 SAR per person,11/10/2023,11/15/2023,6:00 AM to 8:00 PM
Book Fair at King Abdulaziz Center,A book fair promoting literature and reading among the community.,Dammam,All,70 SAR per person,6/10/2023,6/15/2023,5:30 AM to 7:30 PM
Saudi Vision 2030 Cultural Festival,Celebrates Saudi Vision 2030 through various cultural activities and exhibitions.,Riyadh,All,10 SAR per person,9/10/2023,9/15/2023,7:00 AM to 9:00 PM
Historical Jeddah Festival,Showcases the historical significance and culture of Jeddah.,Jeddah,Adults,30 SAR per person,2/1/2023,2/15/2023,6:30 AM to 8:30 PM
Cultural Music Festival,Celebrates various musical genres with performances from local artists.,Al-Baha,All,90 SAR per person,4/20/2023,4/25/2023,5:00 AM to 6:00 PM
International Festival of Traditional Dances,A festival highlighting traditional dance forms from various cultures.,Riyadh,Adults,30 SAR per person,3/1/2023,3/5/2023,6:00 AM to 7:00 PM
Riyadh Art,A large-scale art exhibition featuring contemporary art installations across the city.,Riyadh,Above 15,20 SAR per person,3/15/2023,4/30/2023,5:00 AM to 7:00 PM
Saudi Arabian Film Week,Celebrates Saudi cinema with screenings and discussions.,Jeddah,All,Free Pass,10/15/2022,10/22/2022,6:00 AM to 8:00 PM
Folk Heritage Festival,Focuses on Najran's cultural heritage through crafts and performances.,Najran,Above 15,50 SAR per person,1/20/2023,1/25/2023,5:30 AM to 7:30 PM
Dhahran Music Festival,A music festival featuring local and regional musicians.,Dammam,All,20 SAR per person,6/15/2023,6/20/2023,7:00 AM to 9:00 PM
Festival of Visual Arts,Celebrates visual arts through exhibitions,Jeddah,Above 15,50 SAR per person,11/1/2023,11/7/2023,6:30 AM to 8:30 PM
Traditional Festival of Crafts,Highlights traditional crafts and artisans from various regions.,Riyadh,All,Free Pass,10/1/2023,10/10/2023,5:00 AM to 6:00 PM
Islamic Arts Festival,Focuses on Islamic art and architecture,Makkah,Adults,Free Pass,4/1/2023,4/7/2023,6:00 AM to 7:00 PM
Theatrical Festival at AlUla,Showcases theatrical performances and cultural events in AlUla.,Al-Ula,Above 12,120 SAR per person,12/10/2022,12/15/2022,5:00 AM to 7:00 PM
Soudah International Festival,A cultural festival featuring nature,Abha,Adults,40 SAR per person,8/20/2023,9/5/2023,6:00 AM to 8:00 PM
Al-Diriyah Season,A season celebrating the history and culture of Al-Diriyah.,Al-Diriyah,Adults,10 SAR per person,10/1/2023,12/30/2023,5:30 AM to 7:30 PM
Women’s Cultural Forum,A forum discussing women's contributions to culture and society.,Riyadh,Adults,120 SAR per person,3/8/2023,3/10/2023,7:00 AM to 9:00 PM
International Puppet Festival,Features puppet performances from various cultures.,Jeddah,Adults,150 SAR per person,11/10/2022,11/15/2022,6:30 AM to 8:30 PM
Heritage Village Festival,Celebrates the cultural heritage of the region with various activities.,Al-Ula,Adults,70 SAR per person,6/1/2023,6/5/2023,5:00 AM to 6:00 PM
Saudi Arabia Heritage Festival,Focuses on Saudi heritage through exhibitions and cultural performances.,Riyadh,Adults,40 SAR per person,9/15/2023,9/20/2023,6:00 AM to 7:00 PM
Taif Rose Festival,Celebrates the famous Taif rose with exhibitions and cultural activities.,Taif,All,10 SAR per person,5/1/2023,5/15/2023,5:00 AM to 7:00 PM
Khamis Mushait Cultural Festival,Showcases local culture through performances and workshops.,Abha,Adults,70 SAR per person,3/1/2023,3/5/2023,6:00 AM to 8:00 PM
Traditional Theater Festival,A festival featuring traditional theater performances and storytelling.,Riyadh,Above 12,90 SAR per person,4/1/2023,4/5/2023,5:30 AM to 7:30 PM
Al-Ahsa Cultural Heritage Festival,Celebrates the heritage and culture of the Al-Ahsa region.,Al-Ahsa,Above 15,30 SAR per person,9/1/2023,9/10/2023,7:00 AM to 9:00 PM
Saudi Film Festival,An event showcasing films from Saudi and international filmmakers.,Dammam,Above 15,Free Pass,4/1/2024,4/1/2024,6:30 AM to 8:30 PM
Global Harmony,A cultural initiative promoting global unity through various artistic expressions.,Riyadh,Above 12,120 SAR per person,10/13/2024,10/21/2024,5:00 AM to 6:00 PM
AlUla Winter Festival,A winter festival featuring concerts,Al-Ula,All,50 SAR per person,12/20/2022,1/5/2023,6:00 AM to 7:00 PM
Riyadh International Book Fair,A major event promoting reading,Riyadh,Adults,30 SAR per person,10/12/2023,10/22/2023,5:00 AM to 7:00 PM
Khaleej Festival,Celebrates Gulf cooperation and heritage with various cultural activities.,Jeddah,Adults,20 SAR per person,6/1/2023,6/7/2023,6:00 AM to 8:00 PM
Red Sea International Film Festival,Celebrates cinema and filmmakers from the region.,Jeddah,Above 15,60 SAR per person,12/6/2022,12/15/2022,5:30 AM to 7:30 PM
Qassim Date Festival,Showcases the region's famous dates with competitions and tastings., Qassim,All,60 SAR per person,9/1/2023,9/15/2023,7:00 AM to 9:00 PM
Al-Ula Music Festival,A music festival featuring performances from local and international artists.,Al-Ula,All,30 SAR per person,3/5/2023,3/10/2023,6:30 AM to 8:30 PM
Saudi Food Festival,A culinary event showcasing traditional Saudi dishes.,Riyadh,All,50 SAR per person,11/10/2023,11/15/2023,5:00 AM to 6:00 PM
Literary Festival,Featuring authors,Riyadh,Adults,40 SAR per person,5/5/2023,5/10/2023,6:00 AM to 7:00 PM
Soudah Season,Showcases the region's natural beauty and heritage.,Abha,Adults,70 SAR per person,8/20/2023,9/5/2023,5:00 AM to 7:00 PM
Al-Balad Heritage Festival,A celebration of the history and culture of Al-Balad,Jeddah,Adults,40 SAR per person,2/1/2023,2/10/2023,6:00 AM to 8:00 PM
Makkah Cultural Heritage Festival,Showcases the cultural heritage of Makkah through exhibitions and performances.,Makkah,Adults,70 SAR per person,7/1/2023,7/15/2023,5:30 AM to 7:30 PM
Jeddah Season,A summer festival featuring entertainment,Jeddah,All,50 SAR per person,6/20/2023,9/2/2023,7:00 AM to 9:00 PM
Tuwaiq International Sculpture Symposium,An art symposium focusing on sculpture,Riyadh,Above 12,150 SAR per person,11/1/2022,11/30/2022,6:30 AM to 8:30 PM
Heritage and Culture Festival,Highlights the cultural heritage of Najran with performances and workshops.,Najran,All,50 SAR per person,5/20/2023,5/25/2023,5:00 AM to 6:00 PM
Al-Majma'ah Festival,Celebrates local culture with various artistic and cultural activities.,Al-Majma'ah,Above 15,70 SAR per person,9/5/2023,9/12/2023,6:00 AM to 7:00 PM
Traditional Poetry Festival,Features competitions and performances of traditional poetry.,Taif,Above 15,20 SAR per person,7/1/2023,7/5/2023,5:00 AM to 7:00 PM
Heritage of the Oasis Festival,Celebrates the rich heritage and history of the Al-Hasa oasis.,Al-Hasa,Above 12,70 SAR per person,2/15/2023,2/20/2023,6:00 AM to 8:00 PM
Cultural Exchange Forum,A platform for discussing cultural exchange and collaboration.,Riyadh,Adults,40 SAR per person,3/15/2023,3/17/2023,5:30 AM to 7:30 PM
Riyadh Street Art Festival,Showcases street art and urban culture,Riyadh,All,30 SAR per person,8/1/2023,8/10/2023,7:00 AM to 9:00 PM
Jeddah Film Festival,Celebrates cinema and promotes local filmmakers.,Jeddah,Above 12,70 SAR per person,10/15/2022,10/20/2022,6:30 AM to 8:30 PM
Shahran Cultural Festival,Features local arts,Al-Baha,Adults,20 SAR per person,9/1/2023,9/10/2023,5:00 AM to 6:00 PM
Traditional Crafts Exhibition,Showcases traditional crafts and artisans from across the kingdom.,Riyadh,Above 12,50 SAR per person,11/1/2023,11/7/2023,6:00 AM to 7:00 PM
Taif Summer Festival,A summer festival featuring cultural events,Taif,Adults,Free Pass,7/1/2023,8/15/2023,5:00 AM to 7:00 PM
Al-Qassim Cultural Festival,Showcases the cultural heritage of the Qassim region.,Qassim,All,30 SAR per person,3/10/2023,3/20/2023,6:00 AM to 8:00 PM
Midsummer Nights Festival,A cultural festival celebrating the arts with performances and workshops.,Riyadh,Above 12,30 SAR per person,6/15/2023,6/30/2023,5:30 AM to 7:30 PM
Saudi Music Festival,Features local and international musicians,Riyadh,Adults,10 SAR per person,1/5/2023,1/10/2023,7:00 AM to 9:00 PM
Asir Summer Festival,Celebrates the culture and traditions of the Asir region.,Abha,Adults,60 SAR per person,7/20/2023,8/5/2023,6:30 AM to 8:30 PM
Traditional Dance Festival,Showcases traditional dances from various regions of Saudi Arabia.,Riyadh,Above 15,50 SAR per person,4/20/2023,4/25/2023,5:00 AM to 6:00 PM
Cultural Heritage Exhibitions,Features exhibitions focused on Saudi heritage and history.,Dammam,Above 12,70 SAR per person,8/10/2023,8/20/2023,6:00 AM to 7:00 PM
Al-Jouf Heritage Festival,Celebrates the heritage and culture of Al-Jouf region through events and performances.,Al-Jouf,All,50 SAR per person,10/1/2023,10/10/2023,5:00 AM to 7:00 PM
Poetry and Literature Festival,Features poetry readings and literary discussions with local and international authors.,Jeddah,Adults,90 SAR per person,11/15/2022,11/20/2022,6:00 AM to 8:00 PM
Traditional Cuisine Festival,Showcases traditional Saudi dishes and culinary practices.,Riyadh,All,30 SAR per person,9/15/2023,9/22/2023,5:30 AM to 7:30 PM
Artistic Expressions Festival,Celebrates art,Dammam,All,90 SAR per person,6/1/2023,6/10/2023,7:00 AM to 9:00 PM
Riyadh Fashion Week,Showcases local and international fashion designers.,Riyadh,Adults,30 SAR per person,3/20/2023,3/25/2023,6:30 AM to 8:30 PM
Winter at Tantora Festival,A winter festival featuring concerts,Al-Ula,Adults,70 SAR per person,12/15/2022,1/7/2023,5:00 AM to 6:00 PM
Jeddah Art Week,A week dedicated to contemporary art,Jeddah,Above 15,20 SAR per person,4/1/2023,4/7/2023,6:00 AM to 7:00 PM
Festival of Heritage and Culture,Highlights Saudi heritage through various cultural activities and exhibitions.,Riyadh,Above 15,Free Pass,1/10/2023,1/15/2023,5:00 AM to 7:00 PM
Traditional Jewelry Exhibition,Showcases traditional jewelry and crafts from different regions of Saudi Arabia.,Qassim,All,150 SAR per person,11/15/2022,11/20/2022,6:00 AM to 8:00 PM
Eastern Province Cultural Festival,Celebrates the rich cultural heritage of the Eastern Province with various activities.,Dammam,All,30 SAR per person,10/5/2023,10/10/2023,5:30 AM to 7:30 PM
Arabian Horse Festival,A festival celebrating Arabian horse culture with competitions and exhibitions.,Riyadh,Above 12,60 SAR per person,11/10/2023,11/15/2023,7:00 AM to 9:00 PM
Book Fair at King Abdulaziz Center,A book fair promoting literature and reading among the community.,Dammam,Above 15,20 SAR per person,6/10/2023,6/15/2023,6:30 AM to 8:30 PM
Saudi Vision 2030 Cultural Festival,Celebrates Saudi Vision 2030 through various cultural activities and exhibitions.,Riyadh,Adults,50 SAR per person,9/10/2023,9/15/2023,5:00 AM to 6:00 PM
LEARN 2024,Educational event focusing on lifelong learning and AI applications in education.,Riyadh,Above 15,70 SAR per person,10/6/2024,10/7/2024,6:00 AM to 7:00 PM
Azimuth Festival 2023,Music show,Al-Ula,Adults,70 SAR per person,9/22/2023,9/24/2023,5:00 AM to 7:00 PM
Ancient Kingdoms Festival,Celebrates ancient civilizations of AlUla,Al-Ula,All,50 SAR per person,11/11/2023,11/27/2023,6:00 AM to 8:00 PM
Riyadh Season Opening,Major entertainment event with concerts,Riyadh,Adults,40 SAR per person,10/28/2023,2/20/2024,5:30 AM to 7:30 PM
AlUla Wellness Festival,Wellness activities,Al-Ula,Above 15,50 SAR per person,12/1/2023,12/21/2023,7:00 AM to 9:00 PM
Jeddah Book Fair,Annual book fair showcasing international and local authors.,Jeddah,Above 12,50 SAR per person,12/1/2023,12/10/2023,6:30 AM to 8:30 PM
Janadriyah Festival,National heritage festival celebrating Saudi culture and traditions.,Riyadh,All,20 SAR per person,11/2/2023,11/17/2023,5:00 AM to 6:00 PM
Misk Global Forum,Annual global event empowering youth through discussions on innovation and technology.,Riyadh,Above 12,20 SAR per person,11/10/2023,11/12/2023,6:00 AM to 7:00 PM
AlUla Balloon Festival,Hot air balloon festival featuring vibrant balloons flying over the ancient landscapes.,Al-Ula,Above 12,30 SAR per person,1/15/2024,1/30/2024,5:00 AM to 7:00 PM
Winter at Tantora,Annual festival featuring music performances,Al-Ula,Adults,30 SAR per person,12/21/2023,1/7/2024,6:00 AM to 8:00 PM
Diriyah Contemporary Art Biennale,Showcase of contemporary art,Diriyah,Above 15,Free Pass,11/11/2023,2/7/2024,5:30 AM to 7:30 PM
Saudi International Film Festival,Film screenings from both local and international filmmakers,Riyadh,Above 12,20 SAR per person,3/1/2024,3/7/2024,7:00 AM to 9:00 PM
Sharqiah Season,Cultural and entertainment event showcasing Saudi heritage in the Eastern Province.,Dammam,Above 15,30 SAR per person,4/5/2024,4/20/2024,6:30 AM to 8:30 PM
Taif Rose Festival,Celebration of Taif’s famous rose blooms,Taif,Above 15,90 SAR per person,4/1/2024,4/10/2024,5:00 AM to 6:00 PM
Hayy Jameel Festival,Art and culture festival at the Hayy Jameel art complex.,Jeddah,Above 12,20 SAR per person,12/15/2023,1/5/2024,6:00 AM to 7:00 PM
Saudi Green Initiative,An environmental event as part of Vision 2030’s sustainability efforts.,Riyadh,All,150 SAR per person,11/4/2023,11/6/2023,5:00 AM to 7:00 PM
Red Sea Jazz Festival,International jazz musicians perform in Jeddah,Jeddah,Above 12,150 SAR per person,10/10/2023,10/14/2023,6:00 AM to 8:00 PM
Saudi Cup (Horse Racing),The world’s richest horse race,Riyadh,Above 12,50 SAR per person,2/24/2024,2/25/2024,5:30 AM to 7:30 PM
Najran Summer Festival,Summer festival showcasing traditional Najrani crafts,Najran,All,50 SAR per person,7/5/2023,7/20/2023,7:00 AM to 9:00 PM
Taif Souk Okaz,Historic market event,Taif,All,40 SAR per person,8/1/2023,8/15/2023,6:30 AM to 8:30 PM
Buraidah Date Festival,Date festival showcasing the region’s date harvest and products.,Qassim,Adults,150 SAR per person,8/5/2023,8/20/2023,5:00 AM to 6:00 PM
Dammam Film Festival,A regional film festival promoting new talent and local filmmakers.,Dammam,Above 15,60 SAR per person,9/14/2023,9/20/2023,6:00 AM to 7:00 PM
National Day Parade,National parade celebrating Saudi Arabia’s unity and history.,Riyadh,Adults,Free Pass,9/23/2024,9/23/2024,5:00 AM to 7:00 PM
King Abdulaziz Camel Festival,A camel racing and beauty contest,Riyadh,Adults,50 SAR per person,12/1/2023,1/15/2024,6:00 AM to 8:00 PM
Riyadh Fashion Week,International fashion designers and Saudi talent showcasing the latest trends.,Riyadh,Above 12,Free Pass,10/10/2024,10/12/2024,5:30 AM to 7:30 PM
Al-Qunfudhah Heritage Festival,A festival celebrating the traditional heritage and crafts of the southwestern coastal city.,Al-Qunfudhah,Adults,50 SAR per person,1/5/2024,1/15/2024,7:00 AM to 9:00 PM
Abha Summer Festival,Celebrates the cool summer climate in the Asir region with performances and local art.,Abha,Adults,10 SAR per person,7/1/2023,8/15/2023,6:30 AM to 8:30 PM
Wadi Al-Dawasir Poetry Festival,Traditional poetry performances reflecting the culture of the Najd region.,Wadi Al-Dawasir,Above 12,70 SAR per person,3/10/2024,3/12/2024,5:00 AM to 6:00 PM
Hafr Al-Batin Cultural Festival,A cultural festival promoting local crafts,Hafr Al-Batin,Above 15,10 SAR per person,9/20/2024,9/30/2024,6:00 AM to 7:00 PM
Tabuk Roses Festival,Celebration of the rose blooms unique to the Tabuk region,Tabuk,Above 12,30 SAR per person,4/15/2024,4/20/2024,5:00 AM to 7:00 PM
Hail Desert Festival,Highlights the cultural and adventurous spirit of the desert city of Hail.,Hail,All,50 SAR per person,1/10/2024,1/25/2024,6:00 AM to 8:00 PM
Al Bahah Mountain Festival,A celebration of Al Bahah’s mountains,Al Bahah,Adults,40 SAR per person,8/1/2023,8/10/2023,5:30 AM to 7:30 PM
Bisha Traditional Dance Festival,Focuses on traditional dance and music from the Bisha region.,Bisha,Adults,20 SAR per person,3/1/2024,3/10/2024,7:00 AM to 9:00 PM
Al-Lith Seafaring Heritage,Celebrates the maritime traditions of the Red Sea coast town.,Al-Lith,Above 15,20 SAR per person,5/5/2023,5/15/2023,6:30 AM to 8:30 PM
